epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
1,0.5293,0.8091,0.3248,0.8843,0.9886,0.8680
2,0.2463,0.9132,0.2391,0.9106,0.9954,0.9001
3,0.1937,0.9308,0.2041,0.9311,0.9958,0.9177
4,0.1693,0.9408,0.1699,0.9410,0.9967,0.9311
5,0.1528,0.9454,0.2027,0.9258,0.9962,0.9230
6,0.1316,0.9523,0.1870,0.9311,0.9964,0.9247
7,0.1310,0.9507,0.1447,0.9533,0.9977,0.9480
8,0.1209,0.9566,0.1630,0.9428,0.9973,0.9377
9,0.1072,0.9619,0.1212,0.9579,0.9982,0.9530
10,0.0972,0.9646,0.1743,0.9375,0.9971,0.9228
11,0.0930,0.9659,0.1821,0.9463,0.9969,0.9388
12,0.0888,0.9667,0.1382,0.9568,0.9977,0.9512
13,0.0793,0.9714,0.1877,0.9340,0.9971,0.9178
14,0.0879,0.9683,0.1245,0.9609,0.9982,0.9567
15,0.0766,0.9729,0.1676,0.9492,0.9975,0.9412
16,0.0830,0.9694,0.2228,0.9293,0.9964,0.9147
17,0.0702,0.9763,0.1702,0.9439,0.9979,0.9336
18,0.0635,0.9780,0.1236,0.9556,0.9983,0.9502
19,0.0564,0.9795,0.1343,0.9544,0.9981,0.9499
20,0.0616,0.9787,0.1397,0.9585,0.9979,0.9544
