epoch,train_loss,train_acc,val_loss,val_acc,val_auc,val_f1
1,1.3585,0.5543,1.2269,0.5397,0.9339,0.3427
2,0.7906,0.7681,0.6736,0.8107,0.9739,0.7545
3,0.5773,0.8391,0.5629,0.8201,0.9784,0.7986
4,0.4717,0.8609,0.4461,0.8528,0.9830,0.8156
5,0.4087,0.8776,0.3859,0.8732,0.9865,0.8493
6,0.3656,0.8839,0.4013,0.8645,0.9871,0.8210
7,0.3312,0.8995,0.3573,0.8826,0.9883,0.8555
8,0.3082,0.9031,0.4092,0.8475,0.9897,0.7840
9,0.2846,0.9103,0.3794,0.8645,0.9904,0.8456
10,0.2632,0.9155,0.2720,0.9136,0.9934,0.9015
11,0.2558,0.9196,0.5218,0.7926,0.9897,0.7601
12,0.2415,0.9211,0.4473,0.8353,0.9889,0.8018
13,0.2301,0.9254,0.3097,0.8931,0.9925,0.8815
14,0.2244,0.9254,0.2743,0.9071,0.9935,0.8846
15,0.2091,0.9313,0.5528,0.8107,0.9873,0.7741
16,0.2025,0.9338,0.3136,0.8826,0.9931,0.8659
17,0.2028,0.9329,0.3966,0.8481,0.9925,0.8227
18,0.1891,0.9368,0.1990,0.9311,0.9956,0.9221
19,0.1850,0.9400,0.3322,0.8814,0.9942,0.8707
20,0.1814,0.9384,0.1956,0.9328,0.9959,0.9241
